accession,label,seq_len,frac_signal_region,frac_att_in_signal,att_enrichment,peak_in_signal
O13426,Cytoplasm,470,0.04894,0.00194,0.03968,False
O14908,Cytoplasm,333,0.22823,0.32411,1.42012,True
O55033,Cytoplasm,380,0.06579,0.00415,0.06315,False
O60551,Cytoplasm,498,0.17671,0.96511,5.46162,True
O70310,Cytoplasm,496,0.16532,0.93145,5.63415,True
O88618,Cytoplasm,541,1.00000,1.00000,1.00000,True
P00352,Cytoplasm,501,0.33134,0.01667,0.05030,False
P15280,Cytoplasm,514,0.07782,0.94868,12.19051,True
P15437,Cytoplasm,501,0.33134,0.01052,0.03174,False
P16275,Cytoplasm,450,1.00000,1.00000,1.00000,True
P18124,Cytoplasm,248,0.19355,0.76622,3.95881,True
P34697,Cytoplasm,180,0.10556,0.54567,5.16954,False
P34808,Cytoplasm,472,0.16737,0.06331,0.37828,False
P35321,Cytoplasm,89,0.98876,0.99668,1.00801,True
P36406,Cytoplasm,574,0.32230,0.84039,2.60748,True
P47727,Cytoplasm,277,0.07220,0.00088,0.01223,False
P48534,Cytoplasm,250,0.10000,0.05028,0.50276,False
P49368,Cytoplasm,545,0.08073,0.01994,0.24697,False
Q02956,Cytoplasm,592,0.11318,0.07790,0.68831,False
Q03785,Cytoplasm,461,0.10846,0.11540,1.06399,False
Q06830,Cytoplasm,199,0.12060,0.07930,0.65749,False
Q15185,Cytoplasm,160,0.23125,0.03458,0.14955,False
Q1WM16,Cytoplasm,463,0.82937,0.90522,1.09145,True
Q4R574,Cytoplasm,222,0.82883,0.99716,1.20309,True
Q58CX6,Cytoplasm,225,0.13778,0.09825,0.71309,False
Q5E9C8,Cytoplasm,280,0.08929,0.11020,1.23423,True
O43521,Mitochondrion,198,0.36364,0.18809,0.51726,False
P27824,Mitochondrion,592,0.43919,0.07155,0.16292,False
P35565,Mitochondrion,591,0.43655,0.06829,0.15644,False
P80967,Mitochondrion,50,0.40000,0.00000,0.00000,False
Q13405,Mitochondrion,166,0.13855,0.00000,0.00000,False
Q5RE60,Mitochondrion,527,0.00569,0.00325,0.57174,False
Q6Q2J0,Mitochondrion,527,0.00569,0.00871,1.52919,False
Q7ZY36,Mitochondrion,473,1.00000,1.00000,1.00000,True
Q80ZG6,Mitochondrion,193,0.48187,0.02977,0.06178,False
Q86MV5,Mitochondrion,487,0.23409,0.00006,0.00026,False
Q86TS9,Mitochondrion,123,0.20325,0.00001,0.00005,False
Q8BK03,Mitochondrion,593,0.15514,0.00000,0.00001,False
Q95XR2,Mitochondrion,465,0.08602,0.00065,0.00754,False
Q9BV35,Mitochondrion,468,0.98932,1.00000,1.01080,True
Q9BXH1,Mitochondrion,193,0.49741,0.03282,0.06599,False
Q9FLI5,Mitochondrion,485,0.06186,0.00000,0.00000,False
Q9H3P7,Mitochondrion,528,0.43371,0.82953,1.91263,False
Q9UHN1,Mitochondrion,485,0.07835,0.00099,0.01261,False
Q9VHS7,Mitochondrion,392,0.07143,0.00001,0.00011,False
O94681,Mitochondrion,452,0.23673,0.00000,0.00000,False
B2RVY9,Membrane,229,0.16157,0.27354,1.69301,True
B4GZN1,Membrane,562,0.04448,0.00000,0.00000,False
B4L184,Membrane,562,0.04448,0.00000,0.00000,False
D3Z291,Membrane,348,0.24425,0.39515,1.61781,False
G5EG88,Membrane,545,0.03486,0.00005,0.00144,False
H2MCM1,Membrane,351,0.23647,0.14563,0.61586,False
K1XVG1,Membrane,235,0.07234,0.00000,0.00003,False
O08957,Membrane,142,0.19014,0.00000,0.00001,False
O09044,Membrane,210,0.15238,0.00842,0.05528,False
O14669,Membrane,202,0.41089,0.00001,0.00003,False
O35186,Membrane,329,0.04559,0.96818,21.23545,True
O35632,Membrane,473,0.04228,0.00000,0.00000,False
O35926,Membrane,369,0.54201,0.66774,1.23199,True
O43688,Membrane,288,0.08681,0.00001,0.00016,False
O44516,Membrane,348,0.14655,0.00000,0.00000,False
O46680,Membrane,499,0.05812,0.00000,0.00000,False
O70377,Membrane,210,0.15714,0.00990,0.06297,False
O75787,Membrane,350,0.04571,0.00029,0.00638,False
O95057,Membrane,198,0.10606,0.98940,9.32860,True
O95484,Membrane,217,0.11060,0.00000,0.00000,False
O95500,Membrane,239,0.13808,0.00000,0.00000,False
P08219,Membrane,456,0.05921,0.01381,0.23326,False
P10252,Membrane,240,0.09167,0.00000,0.00000,False
P11167,Membrane,492,0.05081,0.00000,0.00000,False
P11169,Membrane,496,0.00605,0.00003,0.00566,False
P13265,Membrane,597,0.07538,0.00863,0.11448,False
P13688,Membrane,526,0.40875,0.00007,0.00017,False
P14719,Membrane,567,0.06878,0.00148,0.02145,False
P15328,Membrane,257,0.09339,0.00000,0.00004,False
P16863,Membrane,379,0.15303,0.00000,0.00000,False
P18181,Membrane,240,0.09167,0.00000,0.00000,False
P18246,Membrane,383,0.36292,0.00000,0.00000,False
P21730,Membrane,350,0.05429,0.00001,0.00014,False
P22300,Membrane,475,0.08211,0.00000,0.00000,False
P25613,Membrane,283,0.14488,0.00000,0.00000,False
P28471,Membrane,552,0.30797,0.01746,0.05669,False
P31644,Membrane,462,0.14502,0.00150,0.01035,False
P31997,Membrane,349,0.09742,0.00000,0.00000,False
P32248,Membrane,378,0.06349,0.00000,0.00000,False
P34904,Membrane,457,0.04595,0.00000,0.00009,False
P35846,Membrane,255,0.09412,0.00000,0.00001,False
P41440,Membrane,591,0.02200,0.00230,0.10467,False
P54097,Membrane,329,0.05167,0.00001,0.00019,False
P54657,Membrane,213,0.91080,0.99790,1.09563,True
P56857,Membrane,264,0.25379,0.00000,0.00001,False
P70617,Membrane,152,0.47368,0.00928,0.01960,False
P79728,Membrane,228,0.18421,0.01640,0.08902,False
Q05999,Membrane,578,0.28720,0.18420,0.64137,False
Q07490,Membrane,76,0.34211,0.00128,0.00373,False
Q07647,Membrane,493,0.00609,0.00027,0.04447,False
Q08722,Membrane,323,0.05573,0.00000,0.00000,False
Q0DJ33,Membrane,380,0.18947,0.74919,3.95403,True
Q12846,Membrane,297,0.55556,1.00000,1.80000,True
Q14210,Membrane,128,0.15625,0.00000,0.00003,False
Q14714,Membrane,243,0.17695,0.00000,0.00000,False
Q1HAQ0,Membrane,534,0.04682,0.00010,0.00215,False
Q21221,Membrane,332,0.07229,0.00104,0.01444,False
Q28645,Membrane,551,0.58802,0.00092,0.00156,False
Q29101,Membrane,382,0.36387,0.00000,0.00000,False
Q39032,Membrane,561,0.05348,0.00024,0.00456,False
Q3ZKN1,Membrane,330,0.04848,0.96219,19.84516,True
Q55BW0,Membrane,278,0.27698,0.90261,3.25877,True
Q5AG77,Membrane,582,0.04811,0.00000,0.00002,False
